Trade Number,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit
46,78109562,2024-03-13 06:00,sell,0.5,gbpusdc,1.27941,1.28091,1.27935,2024-03-13 06:49,1.27934,-2.5,0.0,0.0,3.5
47,78109595,2024-03-13 06:30,sell,0.67,gbpusdc,1.27975,0.0,1.27935,2024-03-13 06:49,1.27934,-3.35,0.0,0.0,27.47
48,78109628,2024-03-13 07:00,sell,0.5,gbpusdc,1.27942,1.28092,1.27917,2024-03-13 07:26,1.27916,-2.5,0.0,0.0,13.0
49,78109658,2024-03-13 07:30,buy,0.5,gbpusdc,1.2792,1.2777,1.27929,2024-03-13 08:56,1.27929,-2.5,0.0,0.0,4.5
50,78109737,2024-03-13 08:30,buy,0.17,gbpusdc,1.27892,0.0,1.27929,2024-03-13 08:57,1.27931,-0.85,0.0,0.0,6.63
51,78109711,2024-03-13 08:30,buy,0.5,gbpusdc,1.27892,0.0,1.27929,2024-03-13 08:56,1.27929,-2.5,0.0,0.0,18.5
52,78109761,2024-03-13 09:00,buy,0.5,gbpusdc,1.27938,1.27786,1.27903,2024-03-13 10:33,1.27786,-2.5,0.0,0.0,-76.0
53,78109789,2024-03-13 09:15,sell,0.5,gbpusdc,1.27934,1.28084,1.27909,2024-03-13 09:39,1.27909,-2.5,0.0,0.0,12.5
54,78109924,2024-03-13 10:30,buy,0.67,gbpusdc,1.27833,0.0,1.27858,2024-03-13 10:48,1.27863,-3.35,0.0,0.0,20.1
55,78110030,2024-03-13 11:00,sell,0.5,gbpusdc,1.27857,1.28008,1.27895,2024-03-13 11:41,1.28009,-2.5,0.0,0.0,-76.0
56,78110127,2024-03-13 11:15,sell,0.67,gbpusdc,1.27927,0.0,1.27932,2024-03-13 11:56,1.27931,-3.35,0.0,0.0,-2.68
57,78110221,2024-03-13 11:30,sell,0.88,gbpusdc,1.27951,0.0,1.27932,2024-03-13 11:56,1.27931,-4.4,0.0,0.0,17.6
58,78110291,2024-03-13 11:45,sell,0.88,gbpusdc,1.27987,0.0,1.27932,2024-03-13 11:56,1.27931,-4.4,0.0,0.0,49.28
